date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-03-25,22.32,24.0,20.53,17.46,5398162.0,-1.68,-7.56,22.49,23.515,25.427,4773238.9,4594836.73,4140642.61
2020-02-28,20.4,24.32,22.21,20.33,5912687.5,-0.4,-1.77,23.084,23.857,25.995,4223523.15,4575051.18,3870734.51
2020-01-23,24.0,25.39,22.61,22.5,4711551.5,-1.24,-5.2,23.398,24.374,26.634,4077208.95,5099256.73,3575100.14
2019-12-31,23.27,24.28,23.85,22.57,4161447.0,0.6,2.58,23.892,24.72,27.318,4242293.05,5543993.08,3339522.56
2019-11-29,23.54,24.12,23.25,22.49,3682346.5,-0.25,-1.06,24.09,25.167,27.721,4442701.75,5620927.43,3131450.21
2019-10-31,23.79,24.6,23.5,22.9,2649583.25,-0.28,-1.18,24.54,25.502,28.258,4416434.55,5894665.78,2947332.89
2019-09-30,24.97,26.32,23.78,23.57,5181116.5,-1.3,-5.18,24.63,25.819,28.766,4926579.2,5629707.45,2814853.73
2019-08-30,24.9,26.18,25.08,23.17,5536972.0,0.24,0.97,25.35,25.926,29.297,6121304.5,5111595.8,2555797.9
2019-07-31,25.78,27.48,24.84,23.04,5163490.5,-0.66,-2.59,25.548,26.129,29.668,6845693.1,4557898.6,2278949.3
2019-06-28,24.45,26.06,25.5,23.9,3551010.5,1.55,6.47,26.244,26.973,29.971,6799153.1,4041549.55,2128736.51
2019-05-31,26.64,27.0,23.95,22.69,5200306.5,-3.43,-12.53,26.464,27.338,30.27,7372897.0,3686448.5,2196262.26
2019-04-30,26.24,30.3,27.38,26.17,11154743.0,1.31,5.03,27.008,28.132,30.582,6332835.7,3166417.85,2153104.21
2019-03-29,28.5,29.25,26.07,25.01,9158915.0,-2.25,-7.95,26.502,28.893,30.7,4101887.1,2050943.55,1859978.11
2019-02-28,26.89,29.4,28.32,26.06,4930790.5,1.72,6.47,26.71,29.916,30.903,2270104.1,1135052.05,1705195.64
2019-01-31,26.38,26.95,26.6,24.23,6419730.0,-0.07,-0.26,27.702,30.274,31.04,1283946.0,641973.0,1901528.81
2018-12-28,25.25,27.88,26.67,24.13,0.0,1.82,7.32,28.212,31.014,31.213,0.0,0.0,1860395.71
2018-11-30,27.27,28.19,24.85,24.47,0.0,-2.26,-8.34,29.256,31.713,31.242,0.0,0.0,2281113.61
2018-10-31,32.3,32.3,27.11,26.51,0.0,-6.17,-18.54,31.284,32.668,31.269,0.0,0.0,2611756.89
2018-09-28,29.0,33.28,33.28,27.93,0.0,4.13,14.17,33.122,33.207,31.202,0.0,0.0,2856203.84
2018-08-31,32.03,32.18,29.15,27.5,0.0,-2.74,-8.59,32.846,32.968,30.806,0.0,215923.48,3085516.79
2018-07-31,35.0,35.63,31.89,31.06,0.0,-3.1,-8.86,33.816,33.202,30.521,0.0,706076.03,3444027.46
2018-06-29,36.26,36.98,34.99,33.84,0.0,-1.31,-3.61,34.17,33.032,30.189,0.0,1139790.58,3828421.09
2018-05-31,32.08,36.68,36.3,32.0,0.0,4.4,13.79,34.052,32.506,29.623,0.0,1669012.68,3949739.29
2018-04-27,34.02,34.38,31.9,30.01,0.0,-2.1,-6.18,33.292,31.89,28.901,0.0,2275339.23,4092719.46
2018-03-30,33.53,37.66,34.0,32.0,0.0,0.34,1.01,33.09,31.805,28.41,431846.95,3161084.63,4317967.09
2018-02-28,34.58,34.94,33.66,30.67,0.0,-0.74,-2.15,32.588,31.412,27.875,1412152.05,3720791.43,4599858.14
2018-01-31,31.72,35.88,34.4,31.33,0.0,1.9,5.85,31.894,30.771,27.206,2279581.15,4562227.23,4693069.78
2017-12-29,30.98,32.52,32.5,30.55,0.0,1.61,5.21,30.96,29.869,26.5,3338025.35,5223513.78,4813689.96
2017-11-30,31.54,34.23,30.89,30.36,2159234.75,-0.6,-1.91,30.488,29.197,25.892,4550678.45,5712407.68,4943885.24
2017-10-31,30.9,33.65,31.49,29.94,4901525.5,1.3,4.31,30.52,28.644,25.351,5890322.3,5955110.1,5047542.78
2017-09-29,29.77,30.85,30.19,28.76,4337145.5,0.46,1.55,30.236,27.84,24.693,6029430.8,6181978.9,4892079.94
2017-08-31,30.14,31.05,29.73,28.43,5292221.0,-0.41,-1.36,29.648,27.345,24.115,6844873.3,6517051.6,4835188.09
2017-07-31,30.93,32.66,30.14,29.78,6063265.5,-0.91,-2.93,28.778,26.74,23.69,7109002.2,6230465.9,4816457.09
2017-06-30,29.93,32.84,31.05,28.7,8857454.0,0.98,3.26,27.906,25.912,23.14,6874136.9,5910099.7,4769715.99
2017-05-31,26.99,30.12,30.07,26.7,5597068.0,2.82,10.35,26.768,25.015,22.476,6019897.9,5474849.55,4343874.85
2017-04-28,25.38,28.15,27.25,25.16,8414358.0,1.87,7.37,25.444,24.337,21.812,6334527.0,5478924.85,4364631.92
2017-03-31,25.8,26.05,25.38,24.04,6612865.5,-0.4,-1.55,25.042,23.64,21.317,6189229.9,4823912.33,4466790.82
