,date,open,high,close,low
0,2020-03-25,22.32,24.0,20.53,17.46
1,2020-02-28,20.4,24.32,22.21,20.33
2,2020-01-23,24.0,25.39,22.61,22.5
3,2019-12-31,23.27,24.28,23.85,22.57
4,2019-11-29,23.54,24.12,23.25,22.49
5,2019-10-31,23.79,24.6,23.5,22.9
6,2019-09-30,24.97,26.32,23.78,23.57
7,2019-08-30,24.9,26.18,25.08,23.17
8,2019-07-31,25.78,27.48,24.84,23.04
9,2019-06-28,24.45,26.06,25.5,23.9
10,2019-05-31,26.64,27.0,23.95,22.69
11,2019-04-30,26.24,30.3,27.38,26.17
12,2019-03-29,28.5,29.25,26.07,25.01
13,2019-02-28,26.89,29.4,28.32,26.06
14,2019-01-31,26.38,26.95,26.6,24.23
15,2018-12-28,25.25,27.88,26.67,24.13
16,2018-11-30,27.27,28.19,24.85,24.47
17,2018-10-31,32.3,32.3,27.11,26.51
18,2018-09-28,29.0,33.28,33.28,27.93
19,2018-08-31,32.03,32.18,29.15,27.5
20,2018-07-31,35.0,35.63,31.89,31.06
21,2018-06-29,36.26,36.98,34.99,33.84
22,2018-05-31,32.08,36.68,36.3,32.0
23,2018-04-27,34.02,34.38,31.9,30.01
24,2018-03-30,33.53,37.66,34.0,32.0
25,2018-02-28,34.58,34.94,33.66,30.67
26,2018-01-31,31.72,35.88,34.4,31.33
27,2017-12-29,30.98,32.52,32.5,30.55
28,2017-11-30,31.54,34.23,30.89,30.36
29,2017-10-31,30.9,33.65,31.49,29.94
30,2017-09-29,29.77,30.85,30.19,28.76
31,2017-08-31,30.14,31.05,29.73,28.43
32,2017-07-31,30.93,32.66,30.14,29.78
33,2017-06-30,29.93,32.84,31.05,28.7
34,2017-05-31,26.99,30.12,30.07,26.7
35,2017-04-28,25.38,28.15,27.25,25.16
36,2017-03-31,25.8,26.05,25.38,24.04
37,2017-02-28,25.3,26.33,25.78,24.53
38,2017-01-26,23.57,25.76,25.36,23.57
39,2016-12-30,25.44,26.17,23.45,22.56
40,2016-11-30,23.75,26.55,25.24,23.03
41,2016-10-31,21.97,23.97,23.68,21.96
42,2016-09-30,22.1,22.23,21.86,20.93
43,2016-08-31,23.18,24.35,22.08,22.0
44,2016-07-29,20.35,24.36,23.29,19.6
45,2016-06-30,20.35,20.68,20.28,19.88
46,2016-05-31,20.3,20.64,20.29,19.51
47,2016-04-29,20.05,21.04,20.33,19.46
48,2016-03-31,18.32,20.22,20.07,18.1
49,2016-02-29,18.65,19.03,18.33,17.66
50,2016-01-29,21.1,21.2,18.63,17.6
51,2015-12-31,19.05,22.1,21.24,19.01
52,2015-11-30,19.55,21.47,19.13,18.7
53,2015-10-08,17.55,18.07,17.77,17.55
54,2015-09-30,16.86,18.98,16.8,16.04
55,2015-08-31,19.26,20.43,17.35,14.0
56,2015-07-31,22.1,27.36,19.27,18.75
57,2015-06-30,24.0,26.87,22.59,19.25
58,2015-05-29,27.07,27.48,23.98,23.62
59,2015-04-30,24.86,29.18,27.0,24.78
60,2015-03-31,24.48,25.98,24.86,22.22
61,2015-02-27,22.25,25.12,24.36,21.66
62,2015-01-30,21.7,25.98,22.65,21.69
63,2014-12-31,19.6,24.3,21.47,19.3
64,2014-11-28,17.92,20.75,19.78,17.31
65,2014-10-31,18.1,18.35,17.86,16.71
66,2014-09-30,17.05,18.87,18.08,17.0
67,2014-08-29,16.19,17.49,16.93,15.74
68,2014-07-31,15.36,18.02,16.29,15.27
69,2014-06-30,14.62,15.86,15.3,14.28
70,2014-05-30,14.43,15.2,14.6,14.23
71,2014-04-30,13.9,15.16,14.52,13.72
72,2014-03-31,12.7,14.19,13.85,12.22
73,2014-02-28,12.9,14.11,12.7,12.4
74,2014-01-30,14.09,14.11,12.98,12.37
75,2013-12-31,15.2,16.16,14.14,13.0
76,2013-11-29,14.34,15.75,15.38,14.15
77,2013-10-31,13.4,14.88,14.34,13.22
78,2013-09-30,13.07,14.67,13.53,12.97
79,2013-08-30,12.35,14.85,13.06,12.24
80,2013-07-31,13.2,13.65,12.24,11.83
81,2013-06-28,15.63,15.75,13.21,12.15
82,2013-05-31,14.81,16.41,15.63,14.6
83,2013-04-26,14.76,16.08,14.9,14.38
84,2013-03-29,16.81,16.95,14.8,14.17
85,2013-02-28,16.71,19.0,16.84,16.2
86,2013-01-31,17.75,17.94,16.88,16.0
87,2012-12-31,13.96,17.77,17.64,13.88
88,2012-11-30,12.99,14.1,14.07,12.8
89,2012-10-31,13.48,13.98,12.96,12.53
90,2012-09-28,11.39,13.6,13.54,11.37
91,2012-08-31,12.84,13.05,11.35,11.17
92,2012-07-31,14.31,14.31,12.8,11.97
93,2012-06-29,15.72,15.82,14.29,14.0
94,2012-05-31,15.56,16.29,15.72,14.58
95,2012-04-27,14.8,15.68,15.38,14.48
96,2012-03-30,15.69,16.53,14.83,13.95
97,2012-02-29,15.1,16.68,15.77,14.75
98,2012-01-31,14.28,15.8,15.09,13.88
99,2011-12-30,13.85,14.24,14.14,12.49
100,2011-11-30,16.25,17.1,13.53,13.3
101,2011-10-31,16.03,16.72,16.34,14.5
102,2011-09-30,15.5,16.58,15.98,14.4
103,2011-08-31,16.62,17.32,15.45,15.05
