date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-03-26,5.88,6.42,5.46,5.18,10569848.0,-0.38,-6.51,6.258,6.558,6.597,6884206.3,6554656.4,5847692.53
2020-02-28,5.84,6.19,5.84,5.6,9774454.0,-0.65,-10.02,6.53,6.683,6.647,5732208.8,6073407.7,5319200.13
2020-01-23,7.08,7.14,6.49,6.44,4714527.5,-0.46,-6.62,6.774,6.846,6.682,4821237.3,6414677.1,4830477.43
2019-12-31,6.56,6.97,6.95,6.55,4963785.0,0.4,6.11,6.802,6.951,6.692,5005403.1,7968382.15,4594751.05
2019-11-29,6.8,6.89,6.55,6.42,4398417.0,-0.27,-3.96,6.802,6.952,6.705,5942154.1,8237462.55,4346561.8
2019-10-31,7.07,7.44,6.82,6.79,4809860.5,-0.24,-3.4,6.858,6.938,6.747,6225106.5,8253281.9,4126640.95
2019-09-30,6.6,7.23,7.06,6.6,5219596.5,0.43,6.49,6.836,6.867,6.79,6414606.6,7772295.85,3886147.93
2019-08-30,6.96,7.03,6.63,6.42,5635356.5,-0.32,-4.6,6.918,6.776,6.899,8008116.9,7250336.2,3625168.1
2019-07-31,6.93,7.49,6.95,6.52,9647540.0,0.12,1.76,7.1,6.73,6.932,10931361.2,6686800.55,3343400.28
2019-06-28,6.72,6.99,6.83,6.57,5813179.0,0.12,1.79,7.102,6.675,6.946,10532771.0,5722046.55,3053745.1
2019-05-31,7.25,7.34,6.71,6.6,5757361.0,-0.76,-10.17,7.018,6.636,6.981,10281457.3,5140728.65,3132721.18
2019-04-30,7.65,8.3,7.47,7.28,13187148.0,-0.07,-0.93,6.898,6.611,7.022,9129985.1,4564992.55,3711639.33
2019-03-29,6.98,7.94,7.54,6.85,20251578.0,0.58,8.33,6.634,6.518,7.029,6492555.5,3246277.75,3605879.13
2019-02-28,6.44,7.13,6.96,6.39,7654589.0,0.55,8.58,6.36,6.433,7.05,2442239.9,1221119.95,3384614.33
2019-01-31,6.13,6.58,6.41,5.98,4556610.5,0.3,4.91,6.248,6.457,7.093,911322.1,455661.05,3830937.43
2018-12-28,6.29,6.39,6.11,5.99,0.0,-0.04,-0.65,6.254,6.556,7.162,0.0,0.0,4206277.5
2018-11-30,6.22,6.78,6.15,6.0,0.0,-0.02,-0.32,6.324,6.712,7.228,0.0,0.0,4646461.05
2018-10-31,6.29,6.35,6.17,5.29,0.0,-0.23,-3.59,6.402,7.021,7.319,0.0,0.0,5280344.9
2018-09-28,6.44,6.59,6.4,6.1,0.0,-0.04,-0.62,6.506,7.133,7.445,0.0,0.0,5668964.4
2018-08-31,6.41,6.58,6.44,5.95,0.0,-0.02,-0.31,6.666,7.217,7.556,0.0,385443.65,5994895.05
2018-07-31,6.51,6.54,6.46,5.95,0.0,-0.08,-1.22,6.858,7.326,7.669,0.0,1124713.7,6813171.35
2018-06-29,6.66,7.31,6.54,6.38,0.0,-0.15,-2.24,7.1,7.432,7.825,0.0,2858286.1,8103472.05
2018-05-31,7.2,7.42,6.69,6.61,0.0,-0.51,-7.08,7.64,7.54,7.951,0.0,3965480.5,8661983.1
2018-04-27,7.42,7.5,7.2,6.97,0.0,-0.2,-2.7,7.76,7.666,8.097,0.0,5548108.7,9612688.2
