,date,open,high,close,low
0,2020-03-26,5.88,6.42,5.46,5.18
1,2020-02-28,5.84,6.19,5.84,5.6
2,2020-01-23,7.08,7.14,6.49,6.44
3,2019-12-31,6.56,6.97,6.95,6.55
4,2019-11-29,6.8,6.89,6.55,6.42
5,2019-10-31,7.07,7.44,6.82,6.79
6,2019-09-30,6.6,7.23,7.06,6.6
7,2019-08-30,6.96,7.03,6.63,6.42
8,2019-07-31,6.93,7.49,6.95,6.52
9,2019-06-28,6.72,6.99,6.83,6.57
10,2019-05-31,7.25,7.34,6.71,6.6
11,2019-04-30,7.65,8.3,7.47,7.28
12,2019-03-29,6.98,7.94,7.54,6.85
13,2019-02-28,6.44,7.13,6.96,6.39
14,2019-01-31,6.13,6.58,6.41,5.98
15,2018-12-28,6.29,6.39,6.11,5.99
16,2018-11-30,6.22,6.78,6.15,6.0
17,2018-10-31,6.29,6.35,6.17,5.29
18,2018-09-28,6.44,6.59,6.4,6.1
19,2018-08-31,6.41,6.58,6.44,5.95
20,2018-07-31,6.51,6.54,6.46,5.95
21,2018-06-29,6.66,7.31,6.54,6.38
22,2018-05-31,7.2,7.42,6.69,6.61
23,2018-04-27,7.42,7.5,7.2,6.97
24,2018-03-30,7.56,7.95,7.4,7.06
25,2018-02-28,9.21,9.31,7.67,7.26
26,2018-01-31,7.38,10.42,9.24,7.37
27,2017-12-29,7.2,7.38,7.29,6.97
28,2017-11-30,7.54,7.78,7.24,7.06
29,2017-10-31,7.7,7.72,7.53,7.35
30,2017-09-29,7.62,8.33,7.52,7.49
31,2017-08-31,7.95,8.15,7.62,7.35
32,2017-07-31,7.81,8.2,7.95,7.23
33,2017-06-30,7.75,8.43,7.82,7.63
34,2017-05-31,7.4,8.07,7.79,7.12
35,2017-04-28,7.98,8.28,7.44,7.25
36,2017-03-31,8.66,9.0,7.97,7.9
37,2017-02-28,8.64,8.95,8.68,8.52
38,2017-01-26,8.7,8.87,8.62,8.35
39,2016-12-30,9.59,10.37,8.71,8.53
40,2016-11-30,9.05,10.09,9.58,8.88
41,2016-10-31,9.45,9.45,9.05,8.96
42,2016-09-30,9.92,9.92,9.61,8.97
43,2016-08-31,9.16,11.59,10.05,8.79
44,2016-07-29,10.49,10.67,9.2,9.14
45,2016-06-30,11.38,11.9,10.81,10.53
46,2016-05-31,12.41,12.87,11.38,10.83
47,2016-04-29,13.3,13.99,12.42,12.2
48,2016-03-31,13.06,15.63,13.27,12.42
49,2016-02-29,11.8,13.68,13.39,11.35
50,2016-01-29,16.3,16.31,11.73,11.08
51,2015-12-31,19.18,19.49,16.33,16.13
52,2015-11-18,15.03,18.17,17.43,14.4
53,2015-10-30,13.5,16.45,15.3,13.38
54,2015-09-30,14.04,15.48,13.07,12.59
55,2015-08-31,16.8,25.95,13.92,12.95
56,2015-07-31,23.99,24.4,16.96,11.69
57,2015-06-30,35.05,38.99,24.43,20.96
58,2015-05-29,39.0,42.98,35.49,30.21
59,2015-04-29,18.07,35.45,35.45,17.86
60,2015-03-31,18.81,19.25,18.27,16.66
61,2015-02-27,16.52,18.9,18.33,15.75
62,2015-01-30,13.36,18.55,17.04,13.14
63,2014-12-31,9.64,13.51,12.94,9.38
64,2014-11-28,9.1,9.94,9.62,8.61
65,2014-10-31,9.77,9.96,9.09,8.5
66,2014-09-30,8.14,9.8,9.62,8.1
67,2014-08-29,8.02,8.63,8.14,7.9
68,2014-07-31,8.0,8.41,8.05,7.32
69,2014-06-30,7.47,8.36,7.97,7.0
70,2014-05-30,7.83,7.96,7.47,7.13
71,2014-04-30,8.81,9.54,7.88,7.69
72,2014-03-31,5.75,11.22,8.9,5.75
73,2013-06-28,6.18,6.28,5.29,4.71
74,2013-05-31,5.32,6.63,6.2,5.27
75,2013-04-26,5.5,5.72,5.32,5.21
76,2013-03-29,6.3,6.37,5.5,5.25
77,2013-02-28,6.42,7.09,6.33,6.04
78,2013-01-31,6.21,7.43,6.43,5.7
79,2012-12-31,4.83,6.36,6.21,4.51
80,2012-11-30,5.47,6.0,4.83,4.63
81,2012-10-31,5.6,6.25,5.45,5.37
82,2012-09-28,6.08,6.75,5.6,5.33
83,2012-08-31,6.11,7.1,6.1,5.95
84,2012-07-31,7.85,7.97,6.3,5.83
85,2012-06-29,8.43,8.73,7.88,7.2
86,2012-05-31,10.01,11.32,8.5,8.15
87,2012-04-25,4.71,10.6,10.6,4.65
88,2012-03-30,5.25,5.53,4.7,4.64
89,2012-02-29,4.72,5.68,5.28,4.64
90,2012-01-31,4.6,4.88,4.72,4.27
91,2011-12-30,5.39,5.48,4.59,4.42
92,2011-11-30,5.51,6.02,5.21,5.15
93,2011-10-31,5.55,5.88,5.55,5.11
94,2011-09-30,6.36,6.65,5.52,5.44
95,2011-08-31,6.1,6.8,6.31,5.23
96,2011-07-29,6.42,7.26,6.11,6.0
97,2011-06-30,6.25,6.68,6.43,6.0
98,2011-05-31,8.24,8.32,6.27,6.07
99,2011-04-29,8.45,9.5,8.26,8.14
100,2011-03-31,7.75,8.99,8.41,7.7
101,2011-02-28,7.08,7.93,7.75,7.04
102,2011-01-31,7.28,7.77,7.08,6.85
103,2010-12-31,7.82,9.46,7.23,7.02
104,2010-05-14,8.6,8.71,7.11,7.0
105,2010-04-30,10.87,11.09,8.71,8.56
106,2010-03-31,9.98,11.06,10.84,9.75
107,2010-02-26,9.14,9.79,9.75,8.8
108,2010-01-29,10.17,10.53,9.19,9.06
109,2009-12-31,11.25,12.68,10.15,10.15
110,2009-11-30,10.02,12.2,11.35,10.01
111,2009-10-30,9.11,11.38,10.33,9.07
112,2009-09-30,8.48,10.87,9.09,8.48
113,2009-08-31,11.25,12.02,8.67,8.66
114,2009-07-31,10.58,12.97,11.2,10.46
115,2009-06-30,9.67,10.88,10.65,9.12
116,2009-05-27,9.28,10.56,9.44,9.15
117,2009-04-30,7.52,9.37,9.17,7.01
118,2009-03-31,5.33,7.79,7.49,5.25
119,2009-02-27,5.49,7.1,5.3,5.2
120,2009-01-23,4.79,5.73,5.49,4.69
121,2008-12-31,4.63,5.86,4.7,4.63
122,2008-11-28,3.95,5.47,4.68,3.61
123,2008-10-31,5.1,5.24,3.98,3.9
124,2008-09-26,6.04,6.15,5.33,4.38
125,2008-08-29,7.06,7.81,6.1,5.37
126,2008-07-31,6.75,7.74,7.06,6.45
127,2008-06-30,8.6,9.59,6.75,6.4
128,2008-05-30,9.3,9.85,8.73,8.34
129,2008-04-30,11.19,11.3,9.22,7.64
130,2008-03-31,13.44,13.97,11.08,9.8
131,2008-02-29,12.01,13.58,13.38,10.92
132,2008-01-31,12.7,14.18,11.95,11.03
133,2007-12-28,11.2,13.35,12.85,10.75
134,2007-11-30,12.93,13.38,11.38,10.48
135,2007-10-31,15.73,16.24,12.91,11.16
136,2007-09-28,13.61,16.95,15.53,12.05
137,2007-08-31,12.1,13.98,13.47,11.38
138,2007-07-31,9.73,12.65,12.09,8.35
139,2007-06-29,12.88,13.75,9.7,9.39
140,2007-05-31,16.82,19.55,12.88,12.87
141,2007-04-30,11.56,16.45,16.23,11.55
142,2007-03-30,9.78,13.3,11.55,9.2
143,2007-02-28,8.23,10.35,9.79,7.77
144,2007-01-31,7.99,9.88,8.25,7.16
145,2006-12-29,7.62,8.18,7.96,7.16
146,2006-11-30,7.17,7.79,7.66,6.51
147,2006-10-31,10.56,10.58,7.19,6.88
148,2006-09-29,8.59,10.96,10.42,7.4
149,2006-08-31,8.35,9.3,8.59,7.0
150,2006-07-31,4.62,8.6,8.15,4.43
151,2006-06-30,4.9,5.14,4.59,4.08
152,2006-05-19,6.08,6.66,6.58,5.8
153,2006-04-28,4.51,5.55,5.53,4.45
154,2006-03-31,4.28,4.63,4.51,4.02
155,2006-02-28,4.25,4.52,4.29,4.07
156,2006-01-25,3.85,4.27,4.2,3.82
157,2005-12-30,3.74,3.91,3.85,3.56
158,2005-11-30,4.0,4.11,3.74,3.7
159,2005-10-21,4.02,4.14,4.12,3.85
160,2005-09-30,4.24,4.73,4.02,3.94
161,2005-08-31,3.65,4.47,4.25,3.6
162,2005-07-29,4.07,4.26,3.6,3.46
163,2005-06-30,3.98,5.1,4.09,3.8
164,2005-05-31,4.29,4.3,3.94,3.71
165,2005-04-29,4.33,5.17,4.22,4.03
166,2005-03-31,5.64,5.64,4.37,4.19
167,2005-02-28,5.0,5.9,5.65,5.0
168,2005-01-31,4.9,5.81,5.01,4.88
169,2004-12-31,5.51,5.64,4.9,4.89
170,2004-11-30,5.11,5.98,5.56,4.71
171,2004-10-29,5.6,5.93,5.11,5.01
172,2004-09-30,5.35,6.53,5.6,5.1
173,2004-08-31,5.3,5.94,5.38,5.13
174,2004-07-30,5.61,5.86,5.33,5.28
175,2004-06-30,6.5,6.65,5.61,5.6
176,2004-05-31,6.6,6.85,6.47,6.18
177,2004-04-30,7.85,8.29,6.49,6.38
178,2004-03-31,7.81,8.26,7.78,7.05
179,2004-02-27,6.95,8.57,7.86,6.82
180,2004-01-30,5.75,7.17,6.92,5.73
181,2003-12-31,6.4,7.13,5.74,5.65
182,2003-11-28,6.1,6.96,6.35,5.35
183,2003-10-31,6.8,7.17,6.12,6.0
184,2003-09-30,6.75,7.28,6.8,6.73
185,2003-08-29,6.68,7.38,6.78,6.63
186,2003-07-31,7.25,7.34,6.7,6.63
187,2003-06-30,7.81,7.85,7.23,7.2
188,2003-05-30,7.6,7.99,7.81,6.9
189,2003-04-30,8.38,9.1,7.59,7.55
190,2003-03-31,8.96,9.16,8.37,8.03
191,2003-02-28,9.15,9.37,8.96,8.68
192,2003-01-29,7.31,9.4,9.07,7.22
193,2002-12-31,8.1,8.39,7.35,7.32
194,2002-11-29,9.23,9.52,8.17,7.51
195,2002-10-31,9.0,9.35,9.22,8.58
196,2002-09-27,10.21,10.22,9.05,9.05
197,2002-08-30,12.25,12.46,10.21,10.16
198,2002-07-31,12.9,13.18,12.29,12.08
199,2002-06-28,11.57,13.57,12.85,11.2
200,2002-05-31,12.35,12.4,11.66,10.9
201,2002-04-30,14.75,15.07,12.35,11.7
202,2002-03-29,13.04,15.73,14.79,12.9
203,2002-02-28,11.45,13.71,13.04,11.25
204,2002-01-31,12.8,12.8,11.42,9.75
205,2001-12-31,14.28,14.49,12.8,12.53
206,2001-11-30,13.88,14.61,14.28,12.02
207,2001-10-31,14.95,14.95,14.06,11.73
208,2001-09-28,15.2,16.18,14.94,14.8
209,2001-08-31,15.16,17.24,15.4,14.51
210,2001-07-31,17.82,17.95,15.16,14.9
211,2001-06-29,18.1,19.64,17.82,17.51
212,2001-05-31,17.42,18.6,18.06,17.16
213,2001-04-30,17.28,18.5,17.37,16.88
214,2001-03-30,16.19,18.0,17.27,16.0
215,2001-02-28,19.8,19.85,16.2,15.53
216,2001-01-19,20.92,21.81,20.01,19.61
217,2000-12-29,19.65,21.46,20.76,19.48
218,2000-11-30,18.85,21.57,19.65,18.85
219,2000-10-31,19.7,19.7,18.85,17.5
220,2000-09-29,24.3,24.78,19.68,18.88
221,2000-08-31,26.09,26.8,24.42,23.4
222,2000-07-31,29.2,29.2,26.09,25.88
223,2000-06-30,26.1,34.55,29.58,25.1
224,2000-05-31,26.0,27.41,25.98,23.51
225,2000-04-28,48.02,51.12,25.63,22.88
226,2000-03-31,49.1,55.43,48.95,45.0
227,2000-02-29,36.48,58.56,48.98,36.48
228,2000-01-28,21.0,37.3,35.98,20.08
229,1999-12-30,20.18,24.11,20.98,19.98
230,1999-11-30,16.6,21.18,20.18,16.6
231,1999-10-29,16.53,17.47,17.0,15.52
232,1999-09-30,17.0,17.6,16.65,16.01
233,1999-08-31,16.65,17.82,17.0,15.82
234,1999-07-30,16.8,17.8,16.56,13.91
235,1999-06-30,13.05,18.4,16.9,12.12
236,1999-05-31,12.18,13.98,13.05,10.83
237,1999-04-30,12.4,13.48,12.2,11.86
238,1999-03-31,12.26,13.46,12.4,12.0
239,1999-02-09,12.8,13.07,12.26,11.92
240,1999-01-29,13.03,14.06,12.82,12.52
241,1998-12-31,13.46,13.85,12.99,11.7
242,1998-11-30,13.6,14.58,13.44,13.13
243,1998-10-30,14.6,14.8,13.61,12.9
244,1998-09-30,12.09,15.99,14.56,11.88
245,1998-08-31,13.8,14.28,12.26,10.24
246,1998-07-31,14.2,14.61,13.79,12.3
247,1998-06-30,14.54,15.2,14.2,12.4
248,1998-05-29,14.7,16.65,15.3,13.36
249,1998-04-30,12.32,15.88,14.52,12.3
250,1998-03-31,10.8,14.38,12.36,9.66
251,1998-02-27,9.8,10.24,9.82,9.14
252,1998-01-23,9.36,9.73,9.58,8.08
253,1997-12-31,8.37,10.5,9.35,7.8
254,1997-11-28,7.85,8.99,8.33,7.32
255,1997-10-31,7.05,8.27,7.85,6.9
256,1997-09-30,6.23,7.86,7.0,6.1
257,1997-08-29,5.04,6.28,6.13,4.82
258,1997-07-31,4.8,5.2,4.93,4.16
259,1997-06-27,5.9,6.3,4.64,4.51
260,1997-05-30,7.3,9.02,5.9,5.68
261,1997-04-30,7.25,7.84,7.24,6.02
262,1997-03-31,6.66,7.4,7.14,6.35
263,1997-02-28,5.0,6.72,6.64,4.85
264,1997-01-31,4.35,4.9,4.7,4.13
265,1996-12-31,5.98,7.5,4.35,4.01
266,1996-11-29,5.38,5.92,5.78,4.95
267,1996-10-31,4.71,6.35,5.48,4.64
268,1996-09-27,4.55,4.98,4.63,4.1
269,1996-08-30,5.36,6.08,4.52,4.19
270,1996-07-31,5.25,6.38,5.36,4.52
271,1996-06-28,5.35,6.04,5.28,5.22
272,1996-05-31,6.88,6.98,5.48,5.28
273,1996-04-30,5.5,7.2,6.5,5.21
274,1996-03-29,5.6,6.27,5.36,5.11
275,1996-02-16,4.95,5.25,5.23,4.7
276,1996-01-31,5.2,5.48,4.98,4.68
277,1995-12-29,6.36,6.58,5.28,5.18
278,1995-11-30,6.45,7.02,6.6,6.3
279,1995-10-31,6.6,7.5,6.5,6.0
280,1995-09-29,7.05,7.38,6.47,6.31
281,1995-08-31,7.3,8.0,7.03,6.93
282,1995-07-31,7.11,8.39,7.3,7.0
283,1995-06-30,8.32,8.7,7.3,7.2
284,1995-05-31,7.3,12.0,8.35,7.01
285,1995-04-28,8.4,8.67,7.26,6.0
286,1995-03-31,7.1,8.7,8.42,6.98
287,1995-02-28,6.97,8.23,7.06,6.1
288,1995-01-27,8.15,8.45,6.88,6.4
289,1994-12-30,8.8,9.7,8.3,7.65
290,1994-11-30,8.8,9.75,8.7,8.4
291,1994-10-31,9.58,10.5,8.59,5.8
292,1994-09-30,6.45,13.51,10.05,6.23
293,1994-08-31,2.48,6.6,6.25,2.21
294,1994-07-29,2.88,2.93,1.98,1.85
295,1994-06-30,4.0,4.1,2.9,2.85
296,1994-05-31,4.63,4.84,3.92,3.81
297,1994-04-29,5.48,5.85,4.65,4.3
298,1994-03-31,5.45,6.05,5.2,4.32
299,1994-02-28,5.41,6.1,5.45,4.01
300,1994-01-31,6.15,6.7,5.5,5.41
301,1993-12-31,8.47,8.68,6.12,5.6
302,1993-11-30,7.5,8.9,8.34,5.1
303,1993-10-29,7.87,9.0,7.56,7.0
304,1993-09-30,7.5,8.49,7.68,6.9
305,1993-08-31,7.6,9.2,7.48,6.95
306,1993-07-30,8.18,8.39,7.6,6.6
307,1993-06-30,11.81,14.31,8.0,7.89
308,1993-05-31,15.4,15.4,11.81,11.75
309,1993-04-30,9.88,15.75,15.09,9.56
310,1993-03-31,15.8,15.91,9.82,9.53
311,1993-02-26,16.0,19.88,15.75,14.5
312,1993-01-29,11.05,16.5,15.55,11.02
313,1992-12-31,105.0,125.0,11.06,8.6
314,1992-11-30,65.7,110.0,101.5,43.8
315,1992-10-30,102.0,117.78,65.35,53.35
316,1992-09-30,121.25,126.75,102.53,84.5
317,1992-08-31,169.98,171.0,123.0,86.5
318,1992-07-31,219.0,229.95,173.5,150.0
319,1992-06-30,210.75,222.25,215.4,173.0
320,1992-05-29,35.7,310.0,222.0,35.7
321,1992-04-30,35.3,35.7,35.7,35.3
322,1992-03-31,35.3,35.3,35.3,35.3
